nn_name	compute	mem	
resnet18	253689856	5876992	3568896	2308096	
resnet50	2092580864	32366312	22756608	9609704	
alexnet	111421440	23358883	22710075	648808	
VGG16	1705181184	24263872	10716352	13547520	
BERT	48318382080	185597952	135266304	50331648	
darknet19	491724800	9513192	7281536	2231656	
GNMT	24427626496	111083520	105119744	5963776	
ncf	655097856	7797120	5198080	2599040	
Unet	22872871168	263966448	124409040	139557408	
vit	17563060224	123067992	104296236	18771756	
lenet	23240	20560	15858	4702	

